id,address,square,constr_year,levels,flats,latitude,longitude ,created_at,updated_at
1,"Новороссийск, Литейный пер., 38",6742.5,1989,9,162,44.71313815,37.8476772371263,17.06.2023,17.06.2023
2,"Новороссийск, ул. Аршинцева, 3",428.7,1917,2,7,44.73812825,37.77797325,17.06.2023,17.06.2023
3,"Новороссийск, ул. Бориса Пупко, 1",11381.6,2018,16,105,44.6761272,37.7905627,17.06.2023,17.06.2023
4,"Новороссийск, ул. Бориса Пупко, 10",15258.1,2015,16,224,44.673222,37.791288,17.06.2023,17.06.2023
5,"Новороссийск, ул. Бориса Пупко, 3",19961.5,2017,10,261,44.6753813,37.790707325,17.06.2023,17.06.2023
6,"Новороссийск, ул. Бориса Пупко, 5",17024,2018,10,198,44.673924,37.7903341199426,17.06.2023,17.06.2023
7,"Новороссийск, ул. Бориса Пупко, 8",20370.6,2015,16,288,44.67388775,37.7912374894778,17.06.2023,17.06.2023
8,"Новороссийск, ул. Васенко, 32",278.5,1961,1,7,44.7389923,37.7736189,17.06.2023,17.06.2023
9,"Новороссийск, ул. Вербовая, 11",15603.6,2011,21,135,44.6837115,37.7848659815311,17.06.2023,17.06.2023
10,"Новороссийск, ул. Вербовая, 11А",10423.8,2011,20,135,44.6836678,37.7845907,17.06.2023,17.06.2023
11,"Новороссийск, ул. Вербовая, 13",6384.1,2012,16,80,44.6832399,37.783256828869,17.06.2023,17.06.2023
12,"Новороссийск, ул. Вербовая, 15",6503.4,2010,17,80,44.68307565,37.7828132521691,17.06.2023,17.06.2023
13,"Новороссийск, ул. Вербовая, 17",4817.1,1994,10,80,44.68263955,37.78240855,17.06.2023,17.06.2023
14,"Новороссийск, ул. Вербовая, 17",4817.1,1994,10,80,44.68263955,37.78240855,17.06.2023,17.06.2023
15,"Новороссийск, ул. Вербовая, 21",4819.2,1995,10,80,44.6816613,37.7811791,17.06.2023,17.06.2023
16,"Новороссийск, ул. Вербовая, 3",8767.5,2009,9,87,44.6841366,37.7859038,17.06.2023,17.06.2023
17,"Новороссийск, ул. Вербовая, 5",6676.5,2008,9,90,44.68363335,37.7855203758717,17.06.2023,17.06.2023
18,"Новороссийск, ул. Вербовая, 7",6111.1,2009,9,71,44.68348895,37.7860806142698,17.06.2023,17.06.2023
19,"Новороссийск, ул. Вербовая, 9",9622.9,2010,9,97,44.6835047,37.7865066,17.06.2023,17.06.2023
20,"Новороссийск, ул. Видова, 100",19674.3,2020,21,266,44.7257228,37.7540976704309,17.06.2023,17.06.2023
21,"Новороссийск, ул. Видова, 116",3771.9,1979,6,60,44.7276257,37.7507986,17.06.2023,17.06.2023
22,"Новороссийск, ул. Видова, 119",4646.9,0,5,0,44.72908755,37.748472878042,17.06.2023,17.06.2023
23,"Новороссийск, ул. Видова, 119А",2697.3,0,5,0,44.7295038,37.7487530161374,17.06.2023,17.06.2023
24,"Новороссийск, ул. Видова, 121",2958.3,1966,6,77,44.72966875,37.7479791,17.06.2023,17.06.2023
25,"Новороссийск, ул. Видова, 123",4286.2,1981,9,145,44.72977815,37.7472387231353,17.06.2023,17.06.2023
26,"Новороссийск, ул. Видова, 125",4693.5,1974,5,90,44.7304734,37.7455763,17.06.2023,17.06.2023
27,"Новороссийск, ул. Видова, 129",669.4,1961,2,16,44.73086715,37.7448276121279,17.06.2023,17.06.2023
28,"Новороссийск, ул. Видова, 135",2196.4,1969,6,43,44.7320653,37.7430210196453,17.06.2023,17.06.2023
29,"Новороссийск, ул. Видова, 137",3230.28,1982,5,47,44.7324436,37.741248,17.06.2023,17.06.2023
30,"Новороссийск, ул. Видова, 137А",3786.8,1970,9,0,44.7211569,37.7648737,17.06.2023,17.06.2023
31,"Новороссийск, ул. Видова, 149",5361.1,2014,9,90,44.7376865,37.731318800836,17.06.2023,17.06.2023
32,"Новороссийск, ул. Видова, 151",14039.9,2014,9,196,44.73795055,37.7304172642392,17.06.2023,17.06.2023
33,"Новороссийск, ул. Видова, 153",2222,0,10,0,44.7396431,37.72878775,17.06.2023,17.06.2023
34,"Новороссийск, ул. Видова, 156А",4611.7,1974,5,60,44.73052565,37.7422754,17.06.2023,17.06.2023
35,"Новороссийск, ул. Видова, 157",24476,2000,10,416,44.7393242,37.7292394411125,17.06.2023,17.06.2023
36,"Новороссийск, ул. Видова, 158",2276,1966,5,41,44.7310928,37.7422345,17.06.2023,17.06.2023
37,"Новороссийск, ул. Видова, 158А",5237.2,1979,9,64,44.73124225,37.7428993124174,17.06.2023,17.06.2023
38,"Новороссийск, ул. Видова, 160",3410.2,1967,5,63,44.731501,37.7419719,17.06.2023,17.06.2023
39,"Новороссийск, ул. Видова, 160А",2366.1,1982,9,32,44.73188705,37.74150825,17.06.2023,17.06.2023
40,"Новороссийск, ул. Видова, 162",2106.2,1966,5,41,44.73152335,37.7410643,17.06.2023,17.06.2023
41,"Новороссийск, ул. Видова, 163А",4891.7,2006,9,73,44.73971075,37.7296109,17.06.2023,17.06.2023
42,"Новороссийск, ул. Видова, 163Б",3132.4,2008,9,36,44.7211569,37.7648737,17.06.2023,17.06.2023
43,"Новороссийск, ул. Видова, 164",4995.4,1966,5,89,44.73205335,37.7407744,17.06.2023,17.06.2023
44,"Новороссийск, ул. Видова, 164А",2378.7,1980,9,32,44.7324194,37.7402338,17.06.2023,17.06.2023
45,"Новороссийск, ул. Видова, 165",23549.5,1994,10,463,44.74005865,37.7264188462452,17.06.2023,17.06.2023
46,"Новороссийск, ул. Видова, 166",2127.2,1966,5,40,44.7321671,37.7397396,17.06.2023,17.06.2023
47,"Новороссийск, ул. Видова, 167",17045,1994,10,466,44.7409298,37.7251314285832,17.06.2023,17.06.2023
48,"Новороссийск, ул. Видова, 167Б",6197.2,2011,16,79,44.74187645,37.726997375,17.06.2023,17.06.2023
49,"Новороссийск, ул. Видова, 168",4777.5,1965,5,90,44.73269815,37.7394529,17.06.2023,17.06.2023
50,"Новороссийск, ул. Видова, 169",4274.6,1995,10,459,44.74218725,37.7241663392383,17.06.2023,17.06.2023
51,"Новороссийск, ул. Видова, 171",6065.8,2003,10,108,44.7423199,37.726107168004,17.06.2023,17.06.2023
52,"Новороссийск, ул. Видова, 172",3348.8,1966,5,63,44.73380025,37.737152,17.06.2023,17.06.2023
53,"Новороссийск, ул. Видова, 173",20099.2,2001,10,340,44.74178985,37.7250971252167,17.06.2023,17.06.2023
54,"Новороссийск, ул. Видова, 174",2380.4,1978,9,32,44.7344431,37.7362582114898,17.06.2023,17.06.2023
55,"Новороссийск, ул. Видова, 176",3567.2,1966,5,64,44.7344269,37.73584385,17.06.2023,17.06.2023
56,"Новороссийск, ул. Видова, 176А",2652.8,1977,9,36,44.73485225,37.7353312580828,17.06.2023,17.06.2023
57,"Новороссийск, ул. Видова, 177",4593.2,2007,9,71,44.742927,37.72582485,17.06.2023,17.06.2023
58,"Новороссийск, ул. Видова, 178",3522.5,1966,5,80,44.73500035,37.7346426143807,17.06.2023,17.06.2023
59,"Новороссийск, ул. Видова, 178А",2559.5,1976,9,32,44.73537445,37.73426795,17.06.2023,17.06.2023
60,"Новороссийск, ул. Видова, 180",3583,1967,5,80,44.73473525,37.7341415885541,17.06.2023,17.06.2023
61,"Новороссийск, ул. Видова, 182",3917.8,1970,6,185,44.73529065,37.7335302366838,17.06.2023,17.06.2023
62,"Новороссийск, ул. Видова, 182А",2854.9,1977,9,36,44.73604135,37.7330133427563,17.06.2023,17.06.2023
63,"Новороссийск, ул. Видова, 184",4255.8,1972,5,136,44.7359331,37.73218155,17.06.2023,17.06.2023
64,"Новороссийск, ул. Видова, 186",3829.8,1976,5,164,44.7360969,37.7312239868994,17.06.2023,17.06.2023
65,"Новороссийск, ул. Видова, 188",3917.3,1975,5,159,44.7368119,37.7314884,17.06.2023,17.06.2023
66,"Новороссийск, ул. Видова, 190",3398.2,1975,5,60,44.7366544,37.73097095,17.06.2023,17.06.2023
67,"Новороссийск, ул. Видова, 196",5870,2008,16,80,44.7390826,37.7263696970724,17.06.2023,17.06.2023
68,"Новороссийск, ул. Видова, 196А",6014.2,2009,16,80,44.7388467,37.7266415033321,17.06.2023,17.06.2023
69,"Новороссийск, ул. Видова, 210",1226.8,2011,6,28,44.7393533,37.7247143765022,17.06.2023,17.06.2023
70,"Новороссийск, ул. Видова, 210А",1297.7,2012,6,30,44.7211569,37.7648737,17.06.2023,17.06.2023
71,"Новороссийск, ул. Видова, 210Б",2604,2012,6,41,44.7211569,37.7648737,17.06.2023,17.06.2023
72,"Новороссийск, ул. Видова, 210В",776.2,2013,6,23,44.7211569,37.7648737,17.06.2023,17.06.2023
73,"Новороссийск, ул. Видова, 210Г",4591.3,2015,12,112,44.7211569,37.7648737,17.06.2023,17.06.2023
74,"Новороссийск, ул. Видова, 212",9659.2,2015,15,168,44.73892995,37.7245467,17.06.2023,17.06.2023
75,"Новороссийск, ул. Видова, 214",16993.1,2014,16,304,44.739553,37.72376975,17.06.2023,17.06.2023
76,"Новороссийск, ул. Видова, 220",16949.1,2015,16,272,44.7403147,37.7228506591683,17.06.2023,17.06.2023
77,"Новороссийск, ул. Видова, 56",8707.3,1990,9,144,44.72328305,37.7580335522271,17.06.2023,17.06.2023
78,"Новороссийск, ул. Видова, 58",9696.8,1988,9,144,44.7235598,37.7574739032006,17.06.2023,17.06.2023
79,"Новороссийск, ул. Видова, 65",11708.2,2006,9,144,44.72374185,37.76030135,17.06.2023,17.06.2023
80,"Новороссийск, ул. Видова, 67",3618.5,1971,6,69,44.7244261,37.7600116283823,17.06.2023,17.06.2023
81,"Новороссийск, ул. Видова, 67А",4734.8,1972,5,89,44.7250058,37.7592427,17.06.2023,17.06.2023
82,"Новороссийск, ул. Видова, 7",1139.6,1961,3,24,44.72071045,37.7661281304798,17.06.2023,17.06.2023
83,"Новороссийск, ул. Видова, 79",9495.1,0,9,180,44.7245249,37.7586516788575,17.06.2023,17.06.2023
84,"Новороссийск, ул. Видова, 7А",2138,1963,4,43,44.72037485,37.7667216247811,17.06.2023,17.06.2023
85,"Новороссийск, ул. Видова, 81А",3520,1974,5,67,44.72536995,37.7579497702628,17.06.2023,17.06.2023
86,"Новороссийск, ул. Видова, 83",4284.4,1981,9,72,44.7252018,37.7572915870212,17.06.2023,17.06.2023
87,"Новороссийск, ул. Видова, 85",4293.7,1981,9,71,44.72543665,37.75678075,17.06.2023,17.06.2023
88,"Новороссийск, ул. Видова, 87",4248.7,1981,9,72,44.7255685,37.7561822726771,17.06.2023,17.06.2023
89,"Новороссийск, ул. Волгоградская, 10",3484.8,1979,5,60,44.68853,37.7621874,17.06.2023,17.06.2023
90,"Новороссийск, ул. Волгоградская, 12",4381.3,1978,9,72,44.68777435,37.76271985,17.06.2023,17.06.2023
91,"Новороссийск, ул. Волгоградская, 14",4380.9,1978,9,72,44.68822935,37.7627333277699,17.06.2023,17.06.2023
92,"Новороссийск, ул. Волгоградская, 16",5154.91,1979,5,89,44.6877929,37.7634549,17.06.2023,17.06.2023
93,"Новороссийск, ул. Волгоградская, 18",3054.8,1979,5,60,44.68756535,37.763887,17.06.2023,17.06.2023
94,"Новороссийск, ул. Волгоградская, 2",6624.7,1982,9,108,44.6883712,37.7603958068735,17.06.2023,17.06.2023
95,"Новороссийск, ул. Волгоградская, 20",6497.1,1979,9,108,44.68708585,37.7644981978729,17.06.2023,17.06.2023
96,"Новороссийск, ул. Волгоградская, 22",3463,1979,5,60,44.6871691,37.76538235,17.06.2023,17.06.2023
97,"Новороссийск, ул. Волгоградская, 24",3459.1,1979,5,60,44.687013,37.76584945,17.06.2023,17.06.2023
98,"Новороссийск, ул. Волгоградская, 26",6517.8,1979,9,108,44.6864859,37.7663378,17.06.2023,17.06.2023
99,"Новороссийск, ул. Волгоградская, 26А",3412.4,1981,5,51,44.6870232,37.7666702,17.06.2023,17.06.2023
100,"Новороссийск, ул. Волгоградская, 28",3859.1,1980,9,72,44.6865387,37.76710505,17.06.2023,17.06.2023
101,"Новороссийск, ул. Волгоградская, 30",3860.7,1980,9,72,44.68612085,37.76749675,17.06.2023,17.06.2023
102,"Новороссийск, ул. Волгоградская, 32",4278.34,1980,9,72,44.68618885,37.7682113,17.06.2023,17.06.2023
103,"Новороссийск, ул. Волгоградская, 34/1",12269.4,1985,9,208,44.6877508,37.7616253,17.06.2023,17.06.2023
104,"Новороссийск, ул. Волгоградская, 36",6459.5,1985,9,161,44.68564215,37.7702823673641,17.06.2023,17.06.2023
105,"Новороссийск, ул. Волгоградская, 38",6783.7,1984,9,162,44.6854194,37.7711441576749,17.06.2023,17.06.2023
106,"Новороссийск, ул. Волгоградская, 4",4326.7,1978,8,72,44.68820185,37.7613102636751,17.06.2023,17.06.2023
107,"Новороссийск, ул. Волгоградская, 40",6450.4,1986,9,162,44.68521455,37.7719145397896,17.06.2023,17.06.2023
108,"Новороссийск, ул. Волгоградская, 42",5233.7,1985,10,162,44.68502645,37.7726214349883,17.06.2023,17.06.2023
109,"Новороссийск, ул. Волгоградская, 44",7083.3,1985,3,128,44.6846194,37.7733558,17.06.2023,17.06.2023
110,"Новороссийск, ул. Волгоградская, 48",3876,1984,9,72,44.68485305,37.77671545,17.06.2023,17.06.2023
111,"Новороссийск, ул. Волгоградская, 50",4247,1983,9,72,44.68490965,37.7774960208905,17.06.2023,17.06.2023
112,"Новороссийск, ул. Волгоградская, 52",4292.7,1983,9,72,44.68489365,37.7782724250292,17.06.2023,17.06.2023
113,"Новороссийск, ул. Волгоградская, 54",5971.3,1983,9,90,44.6849982,37.779285950692,17.06.2023,17.06.2023
114,"Новороссийск, ул. Волгоградская, 6",4302.4,1979,9,72,44.687961,37.7648777149912,17.06.2023,17.06.2023
115,"Новороссийск, ул. Волгоградская, 8",3852.5,1979,9,72,44.68797675,37.76200785,17.06.2023,17.06.2023
116,"Новороссийск, ул. Гайдара, 25",3073.7,1972,5,65,44.73140725,37.7372478,17.06.2023,17.06.2023
117,"Новороссийск, ул. Гайдара, 27",5127.4,1973,5,93,44.7317872,37.7373676,17.06.2023,17.06.2023
118,"Новороссийск, ул. Героев Десантников, 10",8058.5,1984,9,135,44.68687695,37.7780967212454,17.06.2023,17.06.2023
119,"Новороссийск, ул. Героев Десантников, 11",4572.5,1971,5,90,44.68881475,37.788315,17.06.2023,17.06.2023
120,"Новороссийск, ул. Героев Десантников, 12",6533.8,1983,9,108,44.6856613,37.7777767,17.06.2023,17.06.2023
121,"Новороссийск, ул. Героев Десантников, 14",8575.3,1984,9,141,44.6867676,37.7767662,17.06.2023,17.06.2023
122,"Новороссийск, ул. Героев Десантников, 15",2078.3,1981,9,36,44.6874863,37.78841715,17.06.2023,17.06.2023
123,"Новороссийск, ул. Героев Десантников, 17",2301.4,1972,9,36,44.68724355,37.7881633,17.06.2023,17.06.2023
124,"Новороссийск, ул. Героев Десантников, 18",9708,1986,10,130,44.6865424,37.7756631,17.06.2023,17.06.2023
125,"Новороссийск, ул. Героев Десантников, 19",3206.5,1971,5,60,44.6871042,37.7875624,17.06.2023,17.06.2023
126,"Новороссийск, ул. Героев Десантников, 20",4293.2,1984,9,70,44.6863045,37.7744827,17.06.2023,17.06.2023
127,"Новороссийск, ул. Героев Десантников, 21",4798.71,1971,5,90,44.68729025,37.7866166503362,17.06.2023,17.06.2023
128,"Новороссийск, ул. Героев Десантников, 22",5173.8,1985,9,66,44.68606445,37.7738585466804,17.06.2023,17.06.2023
129,"Новороссийск, ул. Героев Десантников, 23",4996.41,1970,5,90,44.6873627,37.785183,17.06.2023,17.06.2023
130,"Новороссийск, ул. Героев Десантников, 24",7607.6,1984,9,143,44.68663325,37.7732412433791,17.06.2023,17.06.2023
131,"Новороссийск, ул. Героев Десантников, 25",2272.5,1972,9,35,44.6876196,37.7858783764247,17.06.2023,17.06.2023
132,"Новороссийск, ул. Героев Десантников, 27",4605.4,1973,5,90,44.687835,37.7851865,17.06.2023,17.06.2023
133,"Новороссийск, ул. Героев Десантников, 28",3011.3,1985,5,60,44.68619555,37.7717299768373,17.06.2023,17.06.2023
134,"Новороссийск, ул. Героев Десантников, 3",2421.3,1975,9,36,44.68818515,37.7896480046348,17.06.2023,17.06.2023
135,"Новороссийск, ул. Героев Десантников, 30",4188.7,1984,9,72,44.68677005,37.7718431030578,17.06.2023,17.06.2023
136,"Новороссийск, ул. Героев Десантников, 31",4759.8,1967,5,90,44.6879906,37.7835991,17.06.2023,17.06.2023
137,"Новороссийск, ул. Героев Десантников, 32",3055,1986,5,60,44.68634035,37.7712048231627,17.06.2023,17.06.2023
138,"Новороссийск, ул. Героев Десантников, 33",3390.2,1972,5,59,44.6886909,37.7839024495593,17.06.2023,17.06.2023
139,"Новороссийск, ул. Героев Десантников, 33А",2349.8,1981,9,36,44.6892022,37.7834112,17.06.2023,17.06.2023
140,"Новороссийск, ул. Героев Десантников, 34",4113.1,1985,9,72,44.68722095,37.7712658060128,17.06.2023,17.06.2023
141,"Новороссийск, ул. Героев Десантников, 35",4764.9,1969,5,90,44.68808655,37.7829876,17.06.2023,17.06.2023
142,"Новороссийск, ул. Героев Десантников, 35А",2332.2,1978,9,36,44.68886705,37.78300105,17.06.2023,17.06.2023
143,"Новороссийск, ул. Героев Десантников, 36",3576.4,1987,5,60,44.68648115,37.77066275,17.06.2023,17.06.2023
144,"Новороссийск, ул. Героев Десантников, 37",3213.4,1970,5,59,44.68763125,37.7823975,17.06.2023,17.06.2023
145,"Новороссийск, ул. Героев Десантников, 38",4253.7,1984,9,72,44.6871655,37.7703673003119,17.06.2023,17.06.2023
146,"Новороссийск, ул. Героев Десантников, 39",3239.6,1974,5,55,44.6877404,37.7813816,17.06.2023,17.06.2023
147,"Новороссийск, ул. Героев Десантников, 39А",5059.3,1975,5,96,44.68817915,37.78193985,17.06.2023,17.06.2023
148,"Новороссийск, ул. Героев Десантников, 47",4529.8,1979,6,158,44.6886512,37.777218,17.06.2023,17.06.2023
149,"Новороссийск, ул. Героев Десантников, 49",4434.3,1981,9,72,44.6877539,37.77737375,17.06.2023,17.06.2023
150,"Новороссийск, ул. Героев Десантников, 5",2292.9,1975,9,36,44.6884178,37.7896684650297,17.06.2023,17.06.2023
151,"Новороссийск, ул. Героев Десантников, 51",3443.8,1980,5,60,44.688805,37.7766959478421,17.06.2023,17.06.2023
152,"Новороссийск, ул. Героев Десантников, 53",3371.7,1980,5,48,44.68755115,37.77644985,17.06.2023,17.06.2023
153,"Новороссийск, ул. Героев Десантников, 55",4387.6,1980,9,72,44.68872965,37.77565335,17.06.2023,17.06.2023
154,"Новороссийск, ул. Героев Десантников, 55А",3598.1,1989,9,50,44.68863595,37.7750974387707,17.06.2023,17.06.2023
155,"Новороссийск, ул. Героев Десантников, 57",4332.1,1980,9,72,44.68759295,37.77557275,17.06.2023,17.06.2023
156,"Новороссийск, ул. Героев Десантников, 59",4505.2,1979,5,119,44.68794155,37.77511045,17.06.2023,17.06.2023
157,"Новороссийск, ул. Героев Десантников, 61",3389.1,1980,5,48,44.68771265,37.7782953864028,17.06.2023,17.06.2023
158,"Новороссийск, ул. Героев Десантников, 61А",6473.61,1983,9,108,44.689598,37.7740226,17.06.2023,17.06.2023
159,"Новороссийск, ул. Героев Десантников, 69",3439.9,1986,5,60,44.6881243,37.77358865,17.06.2023,17.06.2023
160,"Новороссийск, ул. Героев Десантников, 7",3317.9,1972,5,48,44.68768795,37.7892081,17.06.2023,17.06.2023
161,"Новороссийск, ул. Героев Десантников, 71",4285,1986,9,72,44.6886075,37.7741112175417,17.06.2023,17.06.2023
162,"Новороссийск, ул. Героев Десантников, 73",5160.9,1988,5,90,44.68805375,37.7744832246217,17.06.2023,17.06.2023
163,"Новороссийск, ул. Героев Десантников, 73А",4425.3,1987,9,72,44.68749765,37.7742608377963,17.06.2023,17.06.2023
164,"Новороссийск, ул. Героев Десантников, 75",2557.4,1987,9,34,44.6872804,37.7737144525677,17.06.2023,17.06.2023
165,"Новороссийск, ул. Героев Десантников, 79",4627.1,1984,9,64,44.687464,37.7732756,17.06.2023,17.06.2023
166,"Новороссийск, ул. Героев Десантников, 81",4757.2,1984,9,64,44.6876508,37.772415,17.06.2023,17.06.2023
167,"Новороссийск, ул. Героев Десантников, 83",4475.1,1985,9,64,44.6877732,37.77162835,17.06.2023,17.06.2023
168,"Новороссийск, ул. Героев Десантников, 85",4117.2,1985,5,130,44.688465,37.77170585,17.06.2023,17.06.2023
169,"Новороссийск, ул. Героев Десантников, 87",5077.2,1986,9,67,44.68889995,37.7713807072481,17.06.2023,17.06.2023
170,"Новороссийск, ул. Героев Десантников, 89",4266.5,1985,9,64,44.68826875,37.77078575,17.06.2023,17.06.2023
171,"Новороссийск, ул. Героев Десантников, 9",2125.1,1973,5,101,44.6879727,37.7885986,17.06.2023,17.06.2023
172,"Новороссийск, ул. Героев Десантников, 91",2328,1986,9,33,44.68792565,37.770983110003,17.06.2023,17.06.2023
173,"Новороссийск, ул. Героев Десантников, 95",5316.9,1982,9,171,44.68882175,37.7702118710562,17.06.2023,17.06.2023
174,"Новороссийск, ул. Героев Десантников, 97",4287.3,1982,9,72,44.68831595,37.76975435,17.06.2023,17.06.2023
175,"Новороссийск, ул. Гладкова, 18",1286.5,0,1,0,44.7190772,37.7639079,17.06.2023,17.06.2023
176,"Новороссийск, ул. Григорьева, 10",13822.2,2018,16,192,44.67130825,37.7802488,17.06.2023,17.06.2023
177,"Новороссийск, ул. Дзержинского, 120",1916.3,0,5,0,44.69791695,37.7794223865505,17.06.2023,17.06.2023
178,"Новороссийск, ул. Дзержинского, 126",4667.1,1988,9,72,44.69726145,37.7794599563009,17.06.2023,17.06.2023
179,"Новороссийск, ул. Дзержинского, 128",4538.5,1988,9,72,44.70093865,37.7788163864861,17.06.2023,17.06.2023
180,"Новороссийск, ул. Дзержинского, 130",4455.8,1988,9,72,44.6969505,37.7795516117334,17.06.2023,17.06.2023
181,"Новороссийск, ул. Дзержинского, 132",4297.7,1988,9,72,44.70040335,37.7795064936357,17.06.2023,17.06.2023
182,"Новороссийск, ул. Дзержинского, 134",4299.7,1988,9,72,44.696658,37.7797672550313,17.06.2023,17.06.2023
183,"Новороссийск, ул. Дзержинского, 136",4353.7,1988,9,72,44.69650105,37.7796766,17.06.2023,17.06.2023
184,"Новороссийск, ул. Дзержинского, 138",4301.3,1987,9,72,44.6963241,37.7797814551291,17.06.2023,17.06.2023
185,"Новороссийск, ул. Дзержинского, 140",4291.3,1988,9,72,44.6984452,37.7791751,17.06.2023,17.06.2023
186,"Новороссийск, ул. Дзержинского, 150",4773.6,1994,10,80,44.694137,37.7813523148935,17.06.2023,17.06.2023
187,"Новороссийск, ул. Дзержинского, 152",4785.9,1992,10,80,44.69435165,37.780901493317,17.06.2023,17.06.2023
188,"Новороссийск, ул. Дзержинского, 154",5226.1,1993,10,76,44.6941112,37.780534,17.06.2023,17.06.2023
189,"Новороссийск, ул. Дзержинского, 156",2604.7,1994,10,38,44.6937262,37.7808414,17.06.2023,17.06.2023
190,"Новороссийск, ул. Днестровская, 2",3876.1,1966,5,88,44.7309742,37.74148435,17.06.2023,17.06.2023
191,"Новороссийск, ул. Днестровская, 4",3570.5,1967,5,80,44.7306706,37.74108035,17.06.2023,17.06.2023
192,"Новороссийск, ул. Жуковского, 11",452.4,0,2,0,44.7361128,37.777415229975,17.06.2023,17.06.2023
193,"Новороссийск, ул. Золотаревского, 10",3885.5,1980,9,0,44.6881943,37.767128,17.06.2023,17.06.2023
194,"Новороссийск, ул. Золотаревского, 12",4752.8,1981,9,72,44.6881722,37.76778275,17.06.2023,17.06.2023
195,"Новороссийск, ул. Золотаревского, 2",4310.82,1987,9,72,44.689228,37.763464,17.06.2023,17.06.2023
196,"Новороссийск, ул. Золотаревского, 2А",6208,1986,9,108,44.6887641,37.7639291,17.06.2023,17.06.2023
197,"Новороссийск, ул. Золотаревского, 4",5305.2,1980,5,88,44.68983135,37.76270855,17.06.2023,17.06.2023
198,"Новороссийск, ул. Золотаревского, 8",4487.9,1981,9,72,44.68821275,37.7665138,17.06.2023,17.06.2023
199,"Новороссийск, ул. Золотаревского, 8А",11259,2019,18,200,44.68865565,37.7657730172589,17.06.2023,17.06.2023
200,"Новороссийск, ул. Индустриальная, 5",436.3,1958,2,8,44.7294501,37.7502695622674,17.06.2023,17.06.2023
201,"Новороссийск, ул. Индустриальная, 6",550.7,1960,2,16,44.72907665,37.7507398,17.06.2023,17.06.2023
202,"Новороссийск, ул. Исаева, 1",27590.6,0,18,104,44.70816635,37.7864589231555,17.06.2023,17.06.2023
203,"Новороссийск, ул. Исаева, 13",2033.9,1961,4,43,44.70708215,37.784918119369,17.06.2023,17.06.2023
204,"Новороссийск, ул. Исаева, 23",382.7,1953,2,8,44.7055477,37.7825612,17.06.2023,17.06.2023
205,"Новороссийск, ул. Исаева, 25",540.2,0,2,0,44.70529375,37.7821665599784,17.06.2023,17.06.2023
206,"Новороссийск, ул. Исаева, 38",392.6,1953,2,8,44.7055766,37.7832931619511,17.06.2023,17.06.2023
207,"Новороссийск, ул. Исаева, 4",16869.4,1984,10,130,44.7076201,37.7869008698902,17.06.2023,17.06.2023
208,"Новороссийск, ул. Исаева, 40",374.6,0,2,0,44.7052741,37.78285575,17.06.2023,17.06.2023
209,"Новороссийск, ул. Исаева, 6",16912.8,1988,9,188,44.706052,37.784359,17.06.2023,17.06.2023
210,"Новороссийск, ул. Исаева, 8",933.6,0,4,0,44.70634795,37.7852803360357,17.06.2023,17.06.2023
211,"Новороссийск, ул. Карамзина, 53",8389.5,1986,9,144,44.695195,37.7829421311289,17.06.2023,17.06.2023
212,"Новороссийск, ул. Козлова, 72",23408.8,2014,16,278,44.7275021,37.7544607626176,17.06.2023,17.06.2023
213,"Новороссийск, ул. Конституции, 22",4462.1,2011,8,28,44.71641585,37.7717789337408,17.06.2023,17.06.2023
214,"Новороссийск, ул. Корницкого, 24",2337.6,1974,9,34,44.70290765,37.78289945,17.06.2023,17.06.2023
